Mч,Tч,Si_ч,Mn_ч,C_ч,P_ч,S_ч,Mл,Si_л,Mn_л,C_л,P_л,S_л,М_ф1,М_ф2,М_ф3,М_ф3,М_ф3,М_мш,tд,Vд,Мм,Tм,Si_м,Mn_м,C_м,P_м,S_м,tM,Mш
300,1379,0.573,0.2385,4.558,0.0573,0.022,112,0.200714,0.602143,0.200714,0.020071,0.020071,14002,2861,0,4161,0,1.5,27.7,21592,373.68,1646,0.004,0.067,0.067,0.019,0.035,6.8,52.5
297,1437,0.47,0.24,4.79,0.058,0.021,116,0.198834,0.598448,0.198366,0.019872,0.019872,14032,3951,0,4003,0,1.485,18.77,21884,374.59,1626,0.003,0.063,0.049,0.009,0.024,6.4,48
295,1411,0.63,0.2436,4.6993,0.0574,0.0183,115,0.188459,0.586957,0.183256,0.018723,0.018723,14018,2026,0,3931,0,1.475,31.07,21561,371.87,1662,0.003,0.093,0.061,0.019,0.03,6.7,54.9
295,1418,0.5909,0.2636,4.6188,0.0597,0.022,115,0.223118,1.257826,0.10605,0.01269,0.008057,14012,955,0,4005,0,1.475,17.62,20307,371.87,1676,0.004,0.13,0.065,0.013,0.019,6.4,53.5
297,1384,0.7,0.31,4.56,0.063,0.016,116,0.177938,0.535151,0.177616,0.017786,0.017786,14039,3046,0,4022,0,1.485,18.8,21282,374.59,1643,0.004,0.087,0.08,0.016,0.027,6.4,58.7
300,1378,0.62,0.27,4.67,0.061,0.023,112,0.163593,0.561027,0.146654,0.015961,0.015961,22010,1878,0,4025,0,1.5,18.43,21431,373.68,1651,0.007,0.098,0.05,0.009,0.021,6.5,55.2
295,1451,0.5283,0.2417,4.8961,0.0573,0.0217,116,0.18638,0.58492,0.177777,0.018177,0.018182,14026,3530,0,4028,0,1.475,18.78,21356,372.78,1656,0.004,0.069,0.05,0.008,0.019,6.3,50.4
295,1370,0.65,0.3,4.62,0.065,0.025,116,0.189861,0.589293,0.184532,0.018798,0.0188,14995,1881,0,4049,0,1.475,18.78,21201,372.78,1640,0.003,0.072,0.048,0.009,0.016,6.5,56.3
300,1429,0.6235,0.249,4.815,0.0575,0.0172,109,0.196763,0.598393,0.193828,0.019501,0.019503,15013,5446,0,4036,0,1.5,18.15,20439,370.96,1684,0.003,0.081,0.052,0.009,0.021,6.5,54.9
301,1441,0.64,0.24,4.73,0.059,0.018,112,0.196671,0.5979,0.193814,0.019496,0.019499,16058,5967,0,4368,0,1.505,18.62,20975,374.59,1661,0.004,0.062,0.044,0.008,0.023,6.4,56.6
291,1402,0.66,0.29,4.5,0.063,0.017,90,0.128427,0.52675,0.094313,0.01204,0.01204,22076,5325,0,4138,0,1.455,18.02,20227,345.57,1682,0.004,0.096,0.07,0.007,0.009,5.6,52.2
291,1445,0.54,0.25,4.88,0.06,0.02,93,0.127587,0.523306,0.093697,0.011961,0.011961,22041,4571,0,4139,0,1.455,18.25,20462,348.29,1674,0.006,0.08,0.055,0.007,0.007,5.5,46.9
291,1375,0.4058,0.2421,4.741,0.0646,0.0311,93,0.240741,1.638237,0.058937,0.00899,0.001698,22134,3352,0,4132,0,1.455,18.07,20188,348.29,1639,0.004,0.08,0.047,0.005,0.008,5.5,42
292,1381,0.5534,0.259,4.6731,0.0643,0.0234,92,0.160898,0.559057,0.139285,0.015235,0.015242,22100,2143,0,4109,0,1.46,28.27,21997,348.29,1616,0.003,0.052,0.051,0.004,0.015,5.1,47.6
301,1447,0.57,0.24,4.95,0.06,0.018,112,0.18354,0.626001,0.165986,0.017336,0.017013,14061,6855,0,4106,0,1.505,18.6,21101,374.59,1678,0.006,0.093,0.063,0.01,0.02,6,52.7
290,1390,0.64,0.26,4.62,0.064,0.026,91,0.16829,0.566538,0.15342,0.016479,0.016479,22104,1964,0,4099,0,1.45,17.5,20181,345.57,1666,0.003,0.078,0.061,0.006,0.02,5.5,51.4
300,1391,0.508,0.246,4.654,0.0622,0.0265,110,0.244756,0.540577,0.887078,0.025625,0.019135,20067,4046,0,4118,0,1.5,19.15,21944,371.87,1642,0.005,0.114,0.098,0.012,0.03,5.9,50.8
291,1379,0.5847,0.2542,4.6249,0.0613,0.0179,90,0.137447,0.478826,0.118427,0.012974,0.01298,22074,1035,0,4117,0,1.455,30.38,20928,345.57,1646,0.011,0.093,0.112,0.007,0.015,4.9,48.1
285,1427,0.4861,0.2318,4.49,0.0614,0.0222,96,0.181837,0.579987,0.170681,0.017613,0.01762,22019,3010,1505,4064,0,1.425,18.97,22262,345.57,1701,0.004,0.046,0.049,0.005,0.017,4.9,45.2
295,1447,0.571,0.2305,0,0.061,0.0247,117,0.194468,0.592564,0.19226,0.019395,0.019395,20019,2027,1494,4025,0,1.475,24.87,21956,373.68,1644,0.005,0.118,0.076,0.008,0.023,5.3,53.7
310,1320,0.63,0.26,4.6,0.062,0.023,112,0.183193,0.583192,0.175088,0.018129,0.018129,14014,1011,1489,3979,0,1.55,18.2,21474,382.75,1606,0.004,0.096,0.068,0.009,0.009,5.5,55.9
310,1328,0.6374,0.2768,4.5226,0.0654,0.0228,102,0.200473,0.648995,0.190918,0.019292,0.018934,22015,1347,1561,4126,0,1.55,19.55,22461,373.68,1669,0.002,0.074,0.086,0.005,0.02,5.4,56.1
300,1424,0.5692,0.2492,4.7442,0.0601,0.0183,110,0.189124,0.590464,0.181378,0.018494,0.018499,16041,987,1547,4102,0,1.5,28.37,19831,371.87,1664,0.004,0.062,0.05,0.012,0.028,5.4,51.9
300,1404,0.59,0.29,4.61,0.066,0.019,111,0.179694,0.579297,0.167586,0.017423,0.017429,22134,939,1457,3920,0,1.5,18.62,20955,372.78,1611,0.003,0.038,0.047,0.004,0.018,5.1,53.9
302,1407,0.527,0.2483,4.6265,0.0617,0.0207,110,0.187776,0.588429,0.179304,0.018316,0.018322,22032,1980,1501,4093,0,1.51,18.82,21248,373.68,1630,0.004,0.08,0.048,0.008,0.02,5.6,51.1
301,1376,0.43,0.24,4.8,0.06,0.025,112,0.173717,0.571899,0.159449,0.016816,0.016821,18031,941,1444,4019,0,1.505,18.48,20912,374.59,1595,0.005,0.077,0.048,0.005,0.02,5.1,45.5
300,1412,0.5837,0.269,4.6987,0.0633,0.0208,112,0.200938,0.64375,0.192813,0.01942,0.019094,14030,2832,1536,4043,0,1.5,18.45,21246,373.68,1642,0.003,0.085,0.055,0.009,0.015,5.2,53.2
300,1394,0.4193,0.256,4.7333,0.0627,0.0239,111,0.197607,0.642779,0.186273,0.018893,0.018567,14027,225,1500,4056,0,1.5,17.8,20279,372.78,1640,0.003,0.11,0.051,0.015,0.013,5.4,44.4
300,1419,0.6383,0.3317,4.6133,0.0692,0.0131,111,0.187857,0.588819,0.179478,0.018341,0.018346,20977,1873,1488,4071,0,1.5,18.78,21466,372.78,1648,0.003,0.1,0.074,0.007,0.015,5.6,56.4
301,1425,0.534,0.246,4.6799,0.0596,0.0218,111,0.128,0.525,0.094,0.012,0.012,16034,3911,1544,4028,0,1.505,48.7,23611,373.68,1642,0.003,0.13,0.074,0.007,0.014,5.2,49.8
298,1405,0.55,0.33,4.84,0.069,0.014,110,0.222833,1.287436,0.099618,0.012185,0.007328,16373,4130,1572,4182,0,1.49,20.42,19618,370.06,1667,0.003,0.128,0.087,0.006,0.011,5.6,52
0,0,0,0,0,0,0,104,0.153077,0.485481,0.176923,0.014596,0.014596,14048,2039,1510,4005,0,0,17.25,20213,94.33,1662,0.006,0.153,0.124,0.019,0.019,5.9,21.9
305,1389,0.55,0.23,0,0.057,0.024,106,0.225849,0.575509,0.541321,0.023189,0.020019,18011,2966,0,0,0,1.525,18.18,21415,372.78,1675,0.004,0.111,0.057,0.01,0.03,5,51.1
305,1395,0.5885,0.3249,4.78,0.068,0.0145,106,0.228487,1.339472,0.098683,0.012079,0.006873,14000,1000,1500,4000,0,1.525,17.97,20919,372.78,1627,0.003,0.092,0.071,0.012,0.017,5,53
305,1414,0.561,0.2526,4.75,0.0584,0.0158,107,0.199439,0.598318,0.199439,0.019944,0.019944,14038,3030,1500,3984,0,1.525,18.58,21898,373.68,1685,0.006,0.111,0.073,0.009,0.019,5.2,51.6
290,1443,0.5269,0.2336,4.7917,0.0557,0.0162,89,0.149807,0.485225,0.141173,0.014778,0.014778,22132,5003,1554,3998,0,1.45,19.13,21094,343.75,1672,0.004,0.09,0.061,0.007,0.012,4.4,46.1
292,1438,0.53,0.23,0,0.056,0.019,92,0.188909,0.590247,0.180387,0.018382,0.018388,23374,6105,1557,4129,0,1.46,19.05,21512,348.29,1705,0.002,0.07,0.063,0.005,0.015,4.4,47.9
290,1359,0.5,0.32,4.57,0.066,0.013,90,0.195289,0.596833,0.192644,0.019467,0.019467,22085,2970,1563,4114,0,1.45,18.65,21379,344.66,1648,0.003,0.083,0.071,0.006,0.017,4.4,45.3
297,1396,0.74,0.31,4.72,0.066,0.018,108,0.19024,0.592039,0.182833,0.018604,0.018609,16056,3986,1520,4056,0,1.485,19.3,22139,367.34,1676,0.003,0.086,0.045,0.011,0.023,5.1,60.1
301,1423,0.58,0.24,4.62,0.059,0.018,111,0.194128,0.592528,0.190452,0.019193,0.019196,14709,3890,1560,4143,0,1.505,19.18,21487,373.68,1683,0.003,0.067,0.044,0.009,0.028,5,53.1
302,1395,0.4282,0.2543,4.7783,0.0627,0.0227,108,0.194365,0.738172,0.160018,0.01677,0.015715,14386,3674,1048,3947,0,1.51,18.37,20605,371.87,1628,0.004,0.071,0.049,0.008,0.019,4.8,44.9
300,1374,0.516,0.288,4.822,0.0658,0.0252,109,0.182018,0.546055,0.182018,0.018202,0.018202,14366,3350,1603,4033,0,1.5,31.97,21163,370.96,1647,0.005,0.072,0.052,0.02,0.036,5.5,49.1
299,1404,0.52,0.306,4.6262,0.0672,0.0204,109,0.195637,0.596938,0.192004,0.019347,0.019349,20424,3247,1606,4067,0,1.495,19.27,21674,370.06,1644,0.003,0.075,0.046,0.009,0.029,5.1,50.4
